source,title,content,comments,sentiment
LinkedIn Post,Post de CPIA Argentina,en virtud de lo dispuesto por el reglamento interno del consejo profesional de ingenieria agronomica art 12 y cc se procede a dar oficialización de la lista de renovación de autoridades correspondientes al ciclo 2024 2028 consejeros titulares 1 ing agr francisco onofre m n 17378 01 01 trelew chubut egresado de la facultad de agronomia de la universidad de buenos aires con orientacion en produccion agropecuaria productor agropecuario ex pte del consejo profesional de ciencias agrarias del chubut 2 ing agr hernan de arriba zerpa m n 15533 36 01 san salvador jujuy egresado en la facultad de ciencias agropecuarias de la universidad catolica de cordoba ex secretario de desarrollo susentable del ministerio de ambiente y ex director de desarrollo agrario y forestal de la provincia de jujuy especialista en gestion de calidad gap gacp en cannabis director titular de cannabis avatara s e 3 ing agr cristian linguetti m n 18198 12 01 san francisco cordoba egresado de la facultad de ciencias agrarias de la universidad nacional del litoral profesional nivel iii de apoyo en banco de la nacion argentina 4 ing agr armando allinghi m n 16829 13 01 lomas de zamora buenos aires egresado de la facultad de ciencias agrarias de la universidad de lomas de zamora presidente de la camara de industria argentina de fertilizantes y agroquimicos desde el 2015 profesor adjunto de la catedra de proteccion vegetal de la unlz 5 lic cs ambientales veronica giberti m n 55 01 86 buenos aires egresada en la facultad de agronomia de la universidad de buenos aires master en planificacion y gestion del medio ambiente y recursos naturales profesora adjunta del area de gestion ambiental en fauba ex comision directiva de la international association for impact assessment 2020 2023 consultora independiente 6 ing agr daniel pelegrina m n 17825 01 01 buenos aires egresado de la facultad de agronomia de la universidad de buenos aires con orientacion en economia rural consultor de agronegocios director de relaciones publicas institucionales y de desarrollo institucional del centro de agronegocios de la universidad austral ex presidente de la sociedad rural argentina 2017 2021,Sin comentarios,Neutral
LinkedIn Post,Post de Marine Stewardship Council,tenemos grandes noticias para la región msc américa latina estrena su propia página web un espacio creado compartir acerca de información actualizada sobre pesquerías certificadas en evaluación o en el programa msc de mejora todo lo que necesitas saber sobre el msc y nuestros estándares recursos y contactos para impulsar alianzas en favor de los océanos te invitamos a conocerlo aquí un paso más para acercarnos y trabajar juntos por mares llenos de vida,Sin comentarios,Neutral
LinkedIn Post,Post de Cristian Jiménez Delgado,hola a todos estoy buscando un nuevo puesto y agradecería apoyo si alguien sabe de alguna oportunidad o simplemente quiere que nos pongamos al día puede enviarme un mensaje o dejar un comentario aquí estoy disponible opentowork acerca de mí y lo que busco estoy buscando vacantes de relaciones comunitarias y facilitador me interesan nuevas oportunidades en zamora chinchipe sucumbíos pichincha pastaza y puerto francisco de orellana,Lo compartiré con mi red,Positivo
LinkedIn Post,Post de Cristian Zamora,he empezado en un nuevo puesto como inspector de seguridad en complejo industrial lujan de cuyo,"Felicitaciones Cristian!!, todos los éxitos!!, abrazo grande!! | Gracias German , Abrazo! | ¡Felicidades! 🎉 | Gracias José ! Abz | ¡Felicidades Cristian Querido!!!!!!!!!!!!!",Neutral
LinkedIn Post,Post de Sikota Barleycorn Jorge Ignacio,brainshop taller de liderazgo 2021 para los funcionarios del ministerio de minas e hidrocarburos en el complejo bome bata guineaecuatorial egmmh yalinetwork mwf leadershipdevelopement localcontent _brainshop_ oilandgasindustry gabriel mbaga obiang lima jacinto owono juan daniel hanza mbang salvador mauricio ebozogo oscar a nchaso bekari oscar solsona lisso cristian eteo botau jero tojaka cpsm oscar garcia berniko axana muna botey momobela inmaculada bela slater estela nchama kelly bikie ondo valentin zamora bull césar bolobaha oyó amicheme jose maria nchaso ikaka cbci jose a césar momo chema dina ayingono manuela a n edu mbang aina dybevik matilde casia siaka,"Felicidades chicos!! Un gran paso y un gran taller! Estoy seguro! | Muchas Gracias Héctor Nguema Ondo! | ¡Excelente trabajo! | Gracias César Bolobaha Oyó, AMIChemE!",Neutral
