type,author,text,parent_url
post,Fatih Doğan @fatihdogan_38 · 7h,"Beni tanımayan gençlerin kafası karışmasın diye daha önce birçok kez ifade ettiğim Messi ile GS formalı fotoğraf açıklamasını alta BIRAKIYORUM. Beşiktaş’ta hep doğruları söylemeye çalıştığım için, yönetimlerin yanlışlarını dile getirdiğim için yine sindirme ve susturmak için",https://x.com/fatihdogan_38/status/2018020071323349405
comment,Fatih Doğan @fatihdogan_38,"Beni tanımayan gençlerin kafası karışmasın diye daha önce birçok kez ifade ettiğim Messi ile GS formalı fotoğraf açıklamasını alta BIRAKIYORUM. Beşiktaş’ta hep doğruları söylemeye çalıştığım için, yönetimlerin yanlışlarını dile getirdiğim için yine sindirme ve susturmak için organize karalama kampanyası başlattılar.  Sinmek bir tarafa, tam tersi bu taşeronluk yapan bu organize kötülük ve onu maddi manevi destekleyenler  hakettikleri ilgiyi görecekler!  Sakın; Beşiktaşlılığımı sorgulamaya cüret etmeyin! KDV’si bile size ağır gelir. NOKTA  Rize’den dönünce itinayla yalanlara ve algılara tek tek cevabım var. ",https://x.com/fatihdogan_38/status/2018020071323349405
comment,EagleReign @EagleReign_ · 7h,"Ne güzel yazmışım işte en büyük Beşiktaşlı sensin, Beşiktaş'ı en çok sen düşünürsün diye. Neden alındın ki? GS formasıyla fotoğraf çekindiğin de gerçek. Sıfır hata olan sıfır yalan olan bir tweet.",https://x.com/fatihdogan_38/status/2018020071323349405
comment,Zekeriya @zekeriya_bsk · 7h,Bu trollerin işleri güçleri algı abi . Başka da bir halta yaramıyorlar . Keşke enerjilerini biraz takımın sportif başarısı için harcasalar ...,https://x.com/fatihdogan_38/status/2018020071323349405
comment,EagleReign @EagleReign_ · 7h,Keşke 20 tane amcanın eline kağıt verip bildiri okutmasaydınız be ya da ne bileyim hipodroma gidip atlara istifa diye bağırmasaydınız.,https://x.com/fatihdogan_38/status/2018020071323349405
comment,Ümit Beşiktaş @SahinerUmit · 7h,Eleştirilerinize tamamen katılıyorum. Son dönemde bu eleştirileri çok az medya mensubu yapabiliyor. Onun için sizi taktir ediyorum. Ama Messi ve Gs formalı fotoğraf tüm Beşiktaşlıları rahatsız etmiştir.(tabi Gs’lileri de memnun etmiştir) Bu fotoğraf beni rahatsız etti…,https://x.com/fatihdogan_38/status/2018020071323349405
post,Arielipillo @arielipillo · Jan 25,Búscame una imagen de Messi así en Liga Francesa y desactivo mi cuenta ,https://x.com/arielipillo/status/2015490610283557155
comment,Jaime Fernando @Cacerez94 · Jan 25,Esperemos que el Lyon gane la liga francesa y la copa digo Messi si la ganó,https://x.com/arielipillo/status/2015490610283557155
comment,Arielipillo @arielipillo · Jan 25,La Gano gracias a Mbappe y al PSG el no aporto nada,https://x.com/arielipillo/status/2015490610283557155
comment,malambo @messidelbarkita · Jan 25,está en depresión Messi me dicen,https://x.com/arielipillo/status/2015490610283557155
comment,CS Santana @CRLS_Santana · Jan 25,Búscame una foto así de Endrick y te vas a la verga,https://x.com/arielipillo/status/2015490610283557155
comment,Grokcito @Grrok__ · Jan 25,Te sirve alguno de esos o te busco los demás donde tiene calificación 10? La concha enferma de tú madre,https://x.com/arielipillo/status/2015490610283557155
post,#KONSANTRASYON @konsantrasyon33 · 4h,"Arkadaşlar Messi Galatasaray olayı doğru , transfer büyük oranda bitti büyük ihtimalle yarın açıklanır.",https://x.com/konsantrasyon33/status/2018070346151137406
comment,Asuman Ceran Şahin @AsumanCeran · 3h,Ne alaka ne yapcaz messiyi,https://x.com/konsantrasyon33/status/2018070346151137406
comment,Hüseyin Fehimli @huseyinfehimlii · 1h,@grok  doru mu,https://x.com/konsantrasyon33/status/2018070346151137406
comment,Omega Taraftar @OmegaTaraftar · 3h,"Yapın yapın, servis yapın. Küllüm zarar veriyorsunuz takıma. Aynen kardeşim Messi Galatasarayda…. Noa Lang stoper, Asprilla 6-8 oynar artık",https://x.com/konsantrasyon33/status/2018070346151137406
comment,huseyinaydinozdemi @huseyinaydinoz1 · 3h,@grok  doğru mu bu,https://x.com/konsantrasyon33/status/2018070346151137406
comment,side_ali @SideAli · 2h,yok artık lebron james  biri bize şaka mı yapıyor arda da paylaşım yapmış instadan,https://x.com/konsantrasyon33/status/2018070346151137406
